stim_type,target_talker,target_sentence,target_alt_rate,target_init_position,masker1_talker,masker1_sentence,masker1_alt_rate,masker1_init_position,masker2_talker,masker2_sentence,masker2_alt_rate,masker2_init_position
SOS,10M,Sue gave eight old socks,0.5,90.0,5M,Pat took four cheap bags,0.5,90.0,7M,Lynn bought nine red toys,0.5,-90.0
SOS,5M,Sue held two red socks,0.5,-90.0,11M,Jane bought eight hot shoes,0.5,-90.0,4M,Mike gave three old toys,0.5,90.0
SOS,11M,Sue saw two red toys,0.5,-90.0,8M,Lynn held six small pens,0.5,-90.0,3M,Bob bought three cheap bags,0.5,90.0
SOS,9M,Sue held two cheap socks,0.5,-90.0,4M,Mike bought eight old pens,0.5,-90.0,11M,Sam took five red bags,0.5,90.0
SOS,7M,Sue took four old cards,0.5,-90.0,4M,Lynn gave two big toys,0.5,-90.0,8M,Sam found three cheap shoes,0.5,90.0
SOS,7M,Sue gave three green pens,0.5,90.0,11M,Pat lost two big bags,0.5,90.0,8M,Mike held eight small socks,0.5,-90.0
SOS,9M,Sue saw nine new pens,0.5,-90.0,5M,Jill took six big socks,0.5,-90.0,7M,Jane lost three hot hats,0.5,90.0
SOS,10M,Sue sold six old socks,0.5,90.0,2M,Bob bought five small hats,0.5,90.0,8M,Pat found ten red bags,0.5,-90.0
SOS,5M,Sue saw three small socks,0.5,90.0,8M,Pat held four old bags,0.5,90.0,1M,Jane lost eight hot shoes,0.5,-90.0
SOS,4M,Sue found eight new gloves,0.5,90.0,10M,Lynn gave three cheap socks,0.5,90.0,7M,Jane bought four hot hats,0.5,-90.0
SOS,10M,Sue lost four green bags,4.0,90.0,4M,Bob sold five red toys,4.0,90.0,2M,Mike bought six hot pens,4.0,-90.0
SOS,1M,Sue saw two small bags,4.0,-90.0,11M,Bob sold nine green toys,4.0,-90.0,8M,Mike bought three red cards,4.0,90.0
SOS,1M,Sue bought six cheap pens,4.0,-90.0,8M,Jill saw eight red shoes,4.0,-90.0,2M,Jane gave four new bags,4.0,90.0
